edition,year,stage_results_id,rank,time,rider,age,team,points,elapsed,bib_number
98,2011,stage-1,1,31S,Gilbert Philippe,28.0,Omega Pharma-Lotto,100.0,31S,32.0
98,2011,stage-1,2,3S,Evans Cadel,34.0,BMC Racing Team,70.0,34S,141.0
98,2011,stage-1,3,6S,Hushovd Thor,33.0,Team Garmin - Cervélo,50.0,37S,51.0
98,2011,stage-1,4,6S,Rojas José Joaquín,26.0,Movistar Team,40.0,37S,88.0
98,2011,stage-1,5,6S,Van den Broeck Jurgen,28.0,Omega Pharma-Lotto,32.0,37S,31.0
98,2011,stage-1,6,6S,Thomas Geraint,25.0,Sky Procycling,26.0,37S,117.0
98,2011,stage-1,7,6S,Klöden Andreas,36.0,RadioShack,22.0,37S,74.0
98,2011,stage-1,8,6S,Taaramäe Rein,24.0,"Cofidis, le Crédit en Ligne",18.0,37S,151.0
98,2011,stage-1,9,6S,Horner Chris,39.0,RadioShack,14.0,37S,72.0
98,2011,stage-1,10,6S,Martin Tony,26.0,HTC - High Road,10.0,37S,175.0
98,2011,stage-1,11,6S,Gerdemann Linus,28.0,Leopard Trek,8.0,37S,14.0
98,2011,stage-1,12,6S,Schleck Fränk,31.0,Leopard Trek,6.0,37S,18.0
98,2011,stage-1,13,6S,Velits Peter,26.0,HTC - High Road,4.0,37S,179.0
98,2011,stage-1,14,6S,Voeckler Thomas,32.0,Team Europcar,2.0,37S,181.0
98,2011,stage-1,15,6S,Cunego Damiano,29.0,Lampre - ISD,1.0,37S,161.0
98,2011,stage-1,16,6S,Millar David,34.0,Team Garmin - Cervélo,,37S,56.0
98,2011,stage-1,17,6S,Vinokourov Alexandre,37.0,Pro Team Astana,,37S,61.0
98,2011,stage-1,18,6S,Cancellara Fabian,30.0,Leopard Trek,,37S,12.0
98,2011,stage-1,19,6S,Roche Nicolas,26.0,AG2R La Mondiale,,37S,101.0
98,2011,stage-1,20,6S,Bole Grega,25.0,Lampre - ISD,,37S,163.0
98,2011,stage-1,21,6S,Silin Egor,23.0,Team Katusha,,37S,198.0
98,2011,stage-1,22,6S,Paterski Maciej,24.0,Liquigas - Cannondale,,37S,96.0
98,2011,stage-1,23,6S,Boonen Tom,30.0,Quickstep Cycling Team,,37S,122.0
98,2011,stage-1,24,6S,Meersman Gianni,25.0,FDJ,,37S,135.0
98,2011,stage-1,25,6S,Boasson Hagen Edvald,24.0,Sky Procycling,,37S,114.0
98,2011,stage-1,26,6S,Quinziato Manuel,31.0,BMC Racing Team,,37S,147.0
98,2011,stage-1,27,6S,Bonnet William,29.0,FDJ,,37S,132.0
98,2011,stage-1,28,6S,Galimzyanov Denis,24.0,Team Katusha,,37S,193.0
98,2011,stage-1,29,6S,van Garderen Tejay,22.0,HTC - High Road,,37S,178.0
98,2011,stage-1,30,6S,Gallopin Tony,23.0,"Cofidis, le Crédit en Ligne",,37S,156.0
98,2011,stage-1,31,6S,Gutiérrez José Iván,32.0,Movistar Team,,37S,85.0
98,2011,stage-1,32,6S,Fofonov Dmitriy,34.0,Pro Team Astana,,37S,63.0
98,2011,stage-1,33,6S,Schleck Andy,26.0,Leopard Trek,,37S,11.0
98,2011,stage-1,34,6S,Pineau Jérôme,31.0,Quickstep Cycling Team,,37S,127.0
98,2011,stage-1,35,6S,Duque Leonardo Fabio,31.0,"Cofidis, le Crédit en Ligne",,37S,154.0
98,2011,stage-1,36,6S,Gautier Cyril,23.0,Team Europcar,,37S,183.0
98,2011,stage-1,37,6S,Hondo Danilo,37.0,Lampre - ISD,,37S,165.0
98,2011,stage-1,38,6S,Leipheimer Levi,37.0,RadioShack,,37S,75.0
98,2011,stage-1,39,6S,Brajkovič Janez,27.0,RadioShack,,37S,71.0
98,2011,stage-1,40,6S,Brutt Pavel,29.0,Team Katusha,,37S,192.0
98,2011,stage-1,41,6S,Karpets Vladimir,30.0,Team Katusha,,37S,191.0
98,2011,stage-1,42,6S,Gusev Vladimir,28.0,Team Katusha,,37S,194.0
98,2011,stage-1,43,6S,Zeits Andrey,24.0,Pro Team Astana,,37S,69.0
